id_type,type
403,CARBONADA
404,ACEITUNAS VERDES
405,ENDULZANTES
406,ESPÁRRAGOS
407,ACETO BALSÁMICO
408,PESTO
409,AJÍ CHILENO
410,CERVEZAS SIN ALCOHOL
411,HARINA DE ARROZ
412,ADEREZO PARA ENSALADAS
413,CERVEZAS TRADICIONALES
414,PIMIENTO
415,COBERTURAS
416,SALSAS PARA POSTRES
417,MAÍZ
418,SEMILLAS DE VERDURAS
419,AJÍ PEBRE
420,MERENGUE
421,BASES PARA CARNE
422,TORTELLINI
423,ALMENDRAS
424,CEBOLLITAS PERLA
425,MANZANA
426,POROTOS HALLADO
427,PISTACHOS
428,CANELONES
429,POROTOS ROJOS
430,AJÍ MERQUÉN
431,PREMEZCLAS
432,HUMMUS
433,SARDINAS
434,MANÍ SALADO
435,CEREZAS
436,MANÍ JAPONÉS
437,SUCEDÁNEO DE LIMÓN
438,CEREAL SABOR
439,HARINA DE ALMENDRA
440,ALCACHOFA
441,MIX VERDURAS
442,SALVADO DE TRIGO Y AVENA
443,CIRUELAS
444,CARAMELOS
445,PLÁTANO
446,ZANAHORIA
447,LIMÓN
448,PAPAS
449,CILANTRO
450,TOMATES
451,LECHUGA COSTINA
452,LECHUGA ESPAÑOLA
453,LECHUGA ESCAROLA
454,PALTA HASS
455,BRÓCOLI
456,PEPINO ENSALADA
457,ZAPALLO ITALIANO
458,ESPINACA
459,APIO
460,MANDARINA
461,TOMATE CHERRY
462,CIBOULETTE
463,ZAPALLO CAMOTE
464,PEREJIL
465,BETARRAGA
466,PERAS
467,ALBAHACA
468,COLIFLOR
469,LECHUGA LOLLO ROSA
470,CEBOLLA MORADA
471,ACELGA
472,ESPECIAS
473,BERENJENA
474,LIMÓN SUTIL
475,CEBOLLÍN
476,ARÁNDANOS
477,POMELO
478,MOTE
479,RÚCULA
480,BERRO
481,DESINFECTANTES
482,BROTES DE ALFALFA
483,CARNE DE CERDO
484,PAVO
485,CARNE DE CORDERO
486,BOLSAS DE BASURA
487,PAPEL HIGIÉNICO
488,TOALLAS DE PAPEL
489,SERVILLETAS
490,LIMPIADORES ANTISARRO
491,DETERGENTES EN POLVO
492,BOLSAS DE BASURA Y ECOLÓGICAS
493,CLORO
494,LIMPIEZA DE ROPA
495,"GUANTES, ESPONJAS Y PAÑOS"
496,LIMPIADOR DESINFECTANTE DE PISOS
497,PISOS Y MUEBLES
498,DETERGENTES DE ROPA
499,SUAVIZANTES
500,DETERGENTE LÍQUIDO
501,LAVALOZAS
502,PAÑUELOS
503,LIMPIADORES BAÑO Y COCINA
504,AEROSOLES Y DESINFECTANTES
505,PAÑOS DE PISO/TRAPEROS
506,DETERGENTE EN POLVO
507,DETERGENTES LÍQUIDOS
508,DESODORANTE AMBIENTAL
509,SUAVIZANTES PARA ROPA
510,BAÑO Y COCINA
511,CLOROS
512,LIMPIADOR DE INODORO
513,TRATAMIENTO DE ROPA
514,LIMPIADORES
515,DESODORANTES AMBIENTALES
